Date,rDIS,rDIS_ex,rM_ex,rSmB,rHmL,rRmW,rCmA,rf,MoM
1/2/2013,0.013177491,0.013177491,0.0129,-0.0038,0.0003,-0.0069,0.0048,0,0.0132
1/1/2013,0.09876282,0.09876282,0.0557,0.0056,0.0095,-0.0164,0.0147,0,-0.0186
1/12/2012,0.002617733,0.002517733,0.0118,0.0187,0.0358,-0.0198,0.0086,0.0001,-0.0297
1/11/2012,0.010993638,0.010893638,0.0078,0.0036,-0.0097,0.0068,0.0091,0.0001,0.0034
1/10/2012,-0.060443846,-0.060543846,-0.0176,-0.0081,0.0379,-0.0139,0.0228,0.0001,0.001
1/9/2012,0.056802046,0.056702046,0.0273,0.0066,0.0153,-0.0138,0.0159,0.0001,-0.0104
1/8/2012,0.006715674,0.006615674,0.0255,0.0044,0.0131,-0.0126,-0.0073,0.0001,-0.0248
1/7/2012,0.013195713,0.013195713,0.0079,-0.0268,-0.0027,0.0111,0.0013,0,0.0316
1/6/2012,0.061037144,0.061037144,0.0389,0.0095,0.0044,-0.0124,0.0034,0,-0.0072
1/5/2012,0.060310794,0.060210794,-0.0619,-0.0009,-0.0059,0.0228,0.0239,0.0001,0.0659
1/4/2012,-0.015303984,-0.015303984,-0.0085,-0.0059,-0.0048,0.0112,0.0067,0,0.0384
1/3/2012,0.042629296,0.042629296,0.0311,-0.0045,0.0092,-0.0033,0.0082,0,0.0149
1/2/2012,0.079434458,0.079434458,0.0442,-0.0163,0.0008,-0.0019,-0.001,0,-0.0028
1/1/2012,0.054752767,0.054752767,0.0505,0.0216,-0.0113,-0.0181,-0.014,0,-0.0796
1/12/2011,0.046025177,0.046025177,0.0074,-0.0044,0.0177,0.008,0.024,0,0.0195
1/11/2011,0.027809647,0.027809647,-0.0028,-0.0026,-0.0034,0.0179,0.0153,0,0.0398
1/10/2011,0.156498778,0.156498778,0.1135,0.0357,-0.0018,-0.0187,-0.0088,0,-0.0142
1/9/2011,-0.114503975,-0.114503975,-0.0759,-0.0378,-0.0141,0.0185,0.0028,0,-0.0257
1/8/2011,-0.118073492,-0.118173492,-0.0599,-0.032,-0.0248,0.032,-0.0024,0.0001,-0.0033
1/7/2011,-0.010758234,-0.010758234,-0.0236,-0.0134,-0.0121,0.0243,-0.0176,0,0.0002
1/6/2011,-0.062214687,-0.062214687,-0.0175,0.0011,-0.0032,0.0238,-0.0145,0,0.0177
1/5/2011,-0.03410653,-0.03410653,-0.0127,-0.0069,-0.0208,0.0202,-0.015,0,-0.0058
1/4/2011,0.000231854,0.000231854,0.029,-0.0051,-0.0252,0.0109,-0.0084,0,0.0006
1/3/2011,-0.014860612,-0.014960612,0.0045,0.0267,-0.0158,0.0164,-0.0003,0.0001,0.0351
1/2/2011,0.125289626,0.125189626,0.0349,0.0164,0.011,-0.0193,0.0095,0.0001,0.0203
1/1/2011,0.047591448,0.047491448,0.0199,-0.0242,0.0082,-0.0089,0.0069,0.0001,-0.0032
1/12/2010,0.027389815,0.027289815,0.0682,0.0095,0.0382,-0.0365,0.0322,0.0001,-0.0319
1/11/2010,0.010517471,0.010417471,0.006,0.036,-0.009,0.0024,0.0164,0.0001,0.0254
1/10/2010,0.091540744,0.091440744,0.0388,0.0078,-0.026,0.013,-0.0023,0.0001,0.0164
1/9/2010,0.017209766,0.017109766,0.0954,0.0372,-0.0313,-0.0021,0.0047,0.0001,0.0135
1/8/2010,-0.034134879,-0.034234879,-0.0477,-0.031,-0.0195,0.0072,-0.0169,0.0001,-0.0019
1/7/2010,0.069523904,0.069423904,0.0693,0.0009,-0.0026,0.0024,0.0202,0.0001,0.0188
1/6/2010,-0.05745068,-0.05755068,-0.0556,-0.0249,-0.045,-0.0021,-0.0151,0.0001,-0.03
1/5/2010,-0.092834108,-0.092934108,-0.0789,0.0006,-0.0238,0.0137,-0.0022,0.0001,-0.0013
1/4/2010,0.055285246,0.055185246,0.02,0.0504,0.0281,0.011,0.0169,0.0001,0.0322
